	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
298	B2-1	1.00001	5.47861e-07	0.00342413	42.2827	-21.1019	0.460859	13.459156048397697
299	B2-1	1.20001	9.32055e-07	0.00582534	-28.1221	-21.9324	-0.625755	-10.741948109466572
300	B2-1	1.40002	1.52549e-06	0.00953431	-12.9359	-15.6747	-0.549631	-5.764769553328977
301	B2-1	1.60002	2.43708e-06	0.0152317	-0.205017	-19.8717	-0.0159044	-0.10441644727771686
302	B2-1	1.8	3.78661e-06	0.0236663	-4.93507	-5.93308	-0.669186	-2.827590286610074
303	B2-1	1.99999	5.70621e-06	0.0356638	-0.777486	-6.44733	-0.176522	-0.49496127726153694
304	B2-1	2.20014	8.56898e-06	0.0535561	-0.164628	-3.94455	-0.0617468	-0.11529368269907629
305	B2-1	2.40007	1.26385e-05	0.0789906	-0.513991	-2.68761	-0.310174	-0.39267203945785956
306	B2-1	2.60014	1.92535e-05	0.120334	-0.268212	-1.34276	-0.267125	-0.22198630478501508
307	B2-1	2.80009	2.96585e-05	0.185366	0.806471	-0.484825	1.33242	0.7188049588381904
308	B2-1	2.99999	4.66e-05	0.29125	1.39688	-0.223852	3.88503	1.3339158798283262
309	B2-1	3.20004	8.8131e-05	0.550819	1.32922	0.133214	7.45781	1.35394930095004
310	B2-1	3.39998	0.000134209	0.838806	1.50192	0.498995	13.6343	1.6254414012298433
311	B2-1	3.60004	0.000206696	1.29185	1.53805	0.602684	22.7689	1.7625033866160933
312	B2-1	3.80002	0.000310727	1.94204	1.56594	0.658332	36.7848	1.894131943729274
313	B2-1	3.99999	0.000442541	2.76588	1.50442	0.690078	52.98	1.9154844027940474
314	B2-1	4.19994	0.000602961	3.76851	1.50698	0.720415	75.9226	2.014658313232551
315	B2-1	4.39987	0.00081215	5.07594	1.38478	0.706385	98.4433	1.9394102373156497
316	B2-1	4.59982	0.00100745	6.29656	1.36079	0.695789	125.454	1.992421258591993
317	B2-1	4.80025	0.00124164	7.76025	1.2795	0.682492	151.715	1.955027222061145
318	B2-1	5.00021	0.0014747	9.21687	1.23528	0.684324	181.212	1.966090440681055
319	B2-1	5.20024	0.00173771	10.8607	1.16671	0.690093	209.747	1.931247525481783
320	B2-1	5.40022	0.00204652	12.7908	1.10718	0.683261	243.432	1.9031804109203487
321	B2-1	5.6002	0.00238101	14.8813	1.04708	0.674283	277.764	1.8665304778480376
322	B2-1	5.80026	0.0027037	16.8981	1.0241	0.677495	319.507	1.8907865381315059
323	B2-1	6.00024	0.00307464	19.2165	0.980363	0.673026	359.816	1.8724325449483517
324	B2-1	6.20026	0.00352269	22.0168	0.937632	0.667928	407.424	1.8505141528287488
325	B2-1	6.40028	0.00399248	24.953	0.895978	0.663038	455.48	1.8253516611229113
326	B2-1	6.60025	0.00450481	28.1551	0.863429	0.65054	510.732	1.813994622643855
327	B2-1	6.80023	0.00508057	31.7536	0.823667	0.639507	566.132	1.7828907588430916
328	B2-1	7.00012	0.00572099	35.7562	0.787255	0.628519	627.224	1.7541685078392
329	B2-1	7.20012	0.0064228	40.1425	0.748253	0.617448	688.403	1.7148981752506696
330	B2-1	7.40014	0.00717659	44.8537	0.719175	0.607845	759.841	1.6940430778285847
331	B2-1	7.60012	0.00798773	49.9233	0.685415	0.59788	827.804	1.6581516045613973
332	B2-1	7.80013	0.00887092	55.4432	0.659176	0.590125	907.407	1.6366425458847975
333	B2-1	8.00009	0.00980971	61.3107	0.630396	0.58039	984.225	1.60530706711879
334	B2-1	8.20005	0.0108246	67.6538	0.607744	0.572001	1073.2	1.586311485829325
335	B2-1	8.40014	0.0119029	74.3931	0.584604	0.564166	1162.87	1.5631422806685027
336	B2-1	8.60006	0.0130587	81.6169	0.559835	0.554056	1250.81	1.5325379915189132
337	B2-1	8.80009	0.0142964	89.3525	0.540866	0.546859	1353.74	1.515055538457234
338	B2-1	9.00009	0.0155902	97.4387	0.519344	0.538049	1449.72	1.4878277316918227
339	B2-1	9.20001	0.0169681	106.051	0.503115	0.53282	1562.5	1.4733477289228767
340	B2-1	9.39999	0.0184134	115.084	0.484638	0.523704	1668.82	1.450088630913072
341	B2-1	9.60027	0.0199396	124.622	0.469105	0.517815	1786.49	1.433526985604468
