	Timestamp	Filtered Rate: CBP	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: F-BsubPc	Thickness: CBP	Thickness: F-BsubPc	State: CBP	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: F-BsubPc
87	14:51:01	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
88	14:51:02	0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
89	14:51:03	0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
90	14:51:04	0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
91	14:51:05	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
92	14:51:06	0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
93	14:51:07	-0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
94	14:51:08	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
95	14:51:09	-0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	760
96	14:51:10	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
97	14:51:11	0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
98	14:51:12	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
99	14:51:13	0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
100	14:51:14	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
101	14:51:15	-0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
102	14:51:16	0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
103	14:51:17	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
104	14:51:18	-0.001	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
105	14:51:19	0.000	-0.003	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
106	14:51:20	-0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
107	14:51:21	0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
108	14:51:22	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
109	14:51:23	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
110	14:51:24	0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
111	14:51:25	-0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	755
112	14:51:26	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
113	14:51:27	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
114	14:51:28	0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
115	14:51:29	0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
116	14:51:30	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
117	14:51:31	-0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
118	14:51:32	-0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
119	14:51:33	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
120	14:51:34	0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
121	14:51:35	-0.000	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
122	14:51:36	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
123	14:51:37	-0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
124	14:51:38	0.001	-0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
125	14:51:39	-0.001	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
126	14:51:40	-0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
127	14:51:41	-0.001	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
128	14:51:42	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
129	14:51:43	0.001	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
130	14:51:44	-0.001	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
131	14:51:45	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
132	14:51:46	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
133	14:51:47	-0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
134	14:51:48	-0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
135	14:51:49	-0.001	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
136	14:51:50	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	760
137	14:51:51	-0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
138	14:51:52	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
139	14:51:53	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
140	14:51:54	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
141	14:51:55	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
142	14:51:56	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
143	14:51:57	-0.001	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
144	14:51:58	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
145	14:51:59	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
146	14:52:00	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
147	14:52:01	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
148	14:52:02	-0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
149	14:52:03	-0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
150	14:52:04	-0.000	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
151	14:52:05	-0.000	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
152	14:52:06	0.000	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
153	14:52:07	-0.001	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
154	14:52:08	0.001	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
155	14:52:09	-0.001	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
156	14:52:10	-0.000	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
157	14:52:11	0.000	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
158	14:52:12	-0.000	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
159	14:52:13	0.000	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
160	14:52:14	0.000	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
161	14:52:15	-0.000	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
162	14:52:16	-0.000	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
163	14:52:17	0.000	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
164	14:52:18	-0.001	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
165	14:52:19	0.001	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
166	14:52:20	-0.001	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
167	14:52:21	0.001	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
168	14:52:22	0.000	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
169	14:52:23	-0.001	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
170	14:52:24	0.000	0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
171	14:52:25	0.001	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
172	14:52:26	-0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
173	14:52:27	-0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
174	14:52:28	-0.001	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
175	14:52:29	-0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
176	14:52:30	0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
177	14:52:31	0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
178	14:52:32	0.001	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
179	14:52:33	0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
180	14:52:34	-0.001	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
181	14:52:35	0.001	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
182	14:52:36	0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
183	14:52:37	0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
184	14:52:38	0.001	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
185	14:52:39	-0.001	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
186	14:52:40	0.001	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
187	14:52:41	0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	759
188	14:52:42	0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
189	14:52:43	0.000	0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
190	14:52:44	0.000	0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
191	14:52:45	0.000	0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
192	14:52:46	0.001	0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	756
193	14:52:47	-0.000	0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
194	14:52:48	0.000	0.002	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
