	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: Cl-BsubPc	State: CBP	State: TxOPhCz	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: Cl-BsubPc
103	16:58:50	-0.001	-0.001	-0.004	12.000	9.304	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
104	16:58:51	0.000	-0.001	-0.004	12.000	9.396	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
105	16:58:52	-0.001	-0.001	-0.004	12.000	9.488	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
106	16:58:53	-0.001	-0.001	-0.004	12.000	9.579	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
107	16:58:54	-0.001	-0.001	-0.004	12.000	9.671	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
108	16:58:55	0.000	-0.001	-0.004	12.000	9.763	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
109	16:58:56	-0.000	-0.001	-0.004	12.000	9.854	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
110	16:58:57	-0.001	-0.001	-0.004	12.000	9.946	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	783
111	16:58:58	-0.001	-0.001	-0.004	12.000	10.038	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
112	16:58:59	-0.001	-0.001	-0.004	12.000	10.129	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
113	16:59:00	0.000	-0.001	-0.003	12.000	10.221	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
114	16:59:01	-0.001	-0.001	-0.003	12.000	10.313	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
115	16:59:02	-0.001	-0.001	-0.003	12.000	10.404	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
116	16:59:03	0.000	-0.001	-0.003	12.000	10.496	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
117	16:59:04	0.000	-0.001	-0.003	12.000	10.588	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
118	16:59:05	-0.001	-0.001	-0.003	12.000	10.679	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	789
119	16:59:06	0.000	-0.001	-0.003	12.000	10.771	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	789
120	16:59:07	0.000	-0.001	-0.003	12.000	10.863	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	790
121	16:59:08	-0.001	-0.001	-0.003	12.000	10.954	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	792
122	16:59:09	0.001	-0.001	-0.003	12.000	11.000	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
123	16:59:10	-0.001	-0.001	-0.003	12.000	11.000	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
124	16:59:11	-0.001	-0.001	-0.003	12.000	11.000	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
125	16:59:12	0.000	-0.001	-0.002	12.000	11.000	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	784
126	16:59:13	0.000	-0.001	-0.002	12.000	11.000	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
127	16:59:14	0.000	-0.001	-0.002	12.000	11.000	20.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Soak	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
