	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: OcO-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: OcO-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: OcO-BsubPc	State: CBP	State: TxOPhCz	State: OcO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: OcO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: OcO-BsubPc
97	11:42:25	-0.000	-0.001	-0.002	12.000	8.708	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
98	11:42:26	-0.001	-0.001	-0.002	12.000	8.800	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
99	11:42:27	0.000	-0.001	-0.002	12.000	8.892	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
100	11:42:28	-0.001	-0.001	-0.002	12.000	8.983	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
101	11:42:29	0.000	-0.001	-0.002	12.000	9.075	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
102	11:42:30	-0.001	-0.001	-0.002	12.000	9.167	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
103	11:42:31	-0.000	-0.001	-0.002	12.000	9.258	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	787
104	11:42:32	-0.001	-0.001	-0.002	12.000	9.350	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
105	11:42:33	0.000	-0.001	-0.002	12.000	9.442	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	788
106	11:42:34	-0.000	-0.001	-0.002	12.000	9.533	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	785
107	11:42:35	-0.000	-0.001	-0.002	12.000	9.625	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
108	11:42:36	-0.001	-0.001	-0.002	12.000	9.717	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
109	11:42:37	0.000	-0.002	-0.002	12.000	9.808	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
110	11:42:38	-0.001	-0.002	-0.002	12.000	9.900	18.000	-0.000	-0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	786
