	Timestamp	Filtered Rate: CBP	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: Cl-BsubPc	State: CBP	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: Cl-BsubPc
108	14:03:36	0.000	-0.007	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
109	14:03:37	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
110	14:03:38	-0.001	-0.007	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
111	14:03:39	-0.001	-0.007	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
112	14:03:40	-0.001	-0.007	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
113	14:03:41	-0.001	-0.007	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
114	14:03:42	-0.000	-0.007	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
115	14:03:43	-0.001	-0.007	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
116	14:03:44	0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
117	14:03:45	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	746
118	14:03:46	0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
119	14:03:47	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
120	14:03:48	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
121	14:03:49	-0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
122	14:03:50	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
123	14:03:51	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
124	14:03:52	0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
125	14:03:53	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
126	14:03:54	0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
127	14:03:55	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	749
128	14:03:56	-0.000	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	747
129	14:03:57	-0.001	-0.006	12.000	20.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	748
