	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: F-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: F-BsubPc	State: CBP	State: TxOPhCz	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: F-BsubPc
101	11:57:55	0.000	-0.001	-0.002	20.143	8.813	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	776
102	11:57:56	0.000	-0.002	-0.002	20.143	8.863	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	774
103	11:57:57	0.000	0.003	-0.002	20.143	9.066	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	775
104	11:57:58	-0.001	-0.033	-0.002	20.143	9.116	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	767
105	11:57:59	0.000	-0.051	-0.002	20.143	9.404	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	759
106	11:58:00	0.000	-0.044	-0.002	20.143	9.786	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	766
107	11:58:01	0.000	-0.053	-0.002	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	761
108	11:58:02	0.000	-0.019	-0.002	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	760
109	11:58:03	-0.001	0.003	-0.002	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
110	11:58:04	-0.001	-0.024	-0.002	20.143	10.213	18.000	-0.000	-0.000	-0.000	Manual	Manual	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	757
